group_key,township_en,township_mm,township_is_town_label,resolved_township_public_id,resolved_township_core_id,township_resolve_note,locality_type,locality_en,locality_mm,normalized_name_en,normalized_name_mm,postal_row_count,postal_codes,coremap_candidate_count,coremap_candidate_public_ids,mimu_hit_count,mimu_source_pcodes,audit_decision,audit_note,name_evidence
ahmar|ward|၃|3,Ahmar Town,အမာ မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,1078003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahmar|ward|၄|4,Ahmar Town,အမာ မြို့,true,,,unresolved,ward,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,4,၄,1,1078004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahpyauk|ward|၁|1,Ahpyauk Town,အဖျောက် မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,1163001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahpyauk|ward|၂|2,Ahpyauk Town,အဖျောက် မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,1163002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahpyauk|ward|၃|3,Ahpyauk Town,အဖျောက် မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,1163003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahpyauk|ward|၄|4,Ahpyauk Town,အဖျောက် မြို့,true,,,unresolved,ward,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,4,၄,1,1163004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahtaung|ward|၁|1,Ahtaung Town,အထောင် မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,1072001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahtaung|ward|၂|2,Ahtaung Town,အထောင် မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,1072002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahtaung|ward|၃|3,Ahtaung Town,အထောင် မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,1072003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahtaung|ward|၄|4,Ahtaung Town,အထောင် မြို့,true,,,unresolved,ward,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,4,၄,1,1072004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၁|1,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,0661001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၁၀|10,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (10) Quarter,အမှတ် (၁၀) ရပ်ကွက်,10,၁၀,1,0661010,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၁၁|11,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (11) Quarter,အမှတ် (၁၁) ရပ်ကွက်,11,၁၁,1,0661011,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၁၂|12,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (12) Quarter,အမှတ် (၁၂) ရပ်ကွက်,12,၁၂,1,0661012,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၂|2,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,0661002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၃|3,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,0661003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၄|4,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,4,၄,1,0661004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၅|5,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (5) Quarter,အမှတ် (၅) ရပ်ကွက်,5,၅,1,0661005,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၆|6,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (6) Quarter,အမှတ် (၆) ရပ်ကွက်,6,၆,1,0661006,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၇|7,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (7) Quarter,အမှတ် (၇) ရပ်ကွက်,7,၇,1,0661007,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၈|8,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (8) Quarter,အမှတ် (၈) ရပ်ကွက်,8,၈,1,0661008,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ayetharyar|ward|၉|9,Ayetharyar Town,အေးသာယာ မြို့,true,,,unresolved,ward,No (9) Quarter,အမှတ် (၉) ရပ်ကွက်,9,၉,1,0661009,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bagan|ward|အနော်ရထာ|ahnawrahtar,Bagan Town,ပုဂံ မြို့,true,,,unresolved,ward,Ah Naw Ra Htar Quarter,အနော်ရထာ ရပ်ကွက်,ahnawrahtar,အနော်ရထာ,1,0563002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bagan|ward|အရှေ့ရွာနောင်|ahsheyywarnaung,Bagan Town,ပုဂံ မြို့,true,,,unresolved,ward,Ah Shey Ywar Naung Quarter,အရှေ့ရွာနောင် ရပ်ကွက်,ahsheyywarnaung,အရှေ့ရွာနောင်,1,0563005,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bagan|ward|ဂန့်ဂါဟော်တယ်ဇုံ၄|ganggahotelzone4,Bagan Town,ပုဂံ မြို့,true,,,unresolved,ward,Gang Ga (Hotel Zone 4) Quarter,ဂန့်ဂါ (ဟော်တယ်ဇုံ ၄) ရပ်ကွက်,ganggahotelzone4,ဂန့်ဂါဟော်တယ်ဇုံ၄,1,0563006,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bagan|ward|ကျန်စစ်သား|kyansitthar,Bagan Town,ပုဂံ မြို့,true,,,unresolved,ward,Kyan Sit Thar Quarter,ကျန်စစ်သား ရပ်ကွက်,kyansitthar,ကျန်စစ်သား,1,0563001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bagan|ward|ရွှေတွင်း|shwetwin,Bagan Town,ပုဂံ မြို့,true,,,unresolved,ward,Shwe Twin Quarter,ရွှေတွင်း ရပ်ကွက်,shwetwin,ရွှေတွင်း,1,0563004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bagan|ward|သီရိပစ္စယာ|thiripyitsayar,Bagan Town,ပုဂံ မြို့,true,,,unresolved,ward,Thi Ri Pyit Sa Yar Quarter,သီရိပစ္စယာ ရပ်ကွက်,thiripyitsayar,သီရိပစ္စယာ,1,0563003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bawgali|ward|၁|1,Baw Ga Li Town,ဘောဂလိ မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,1362001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bawgali|ward|၂|2,Baw Ga Li Town,ဘောဂလိ မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,1362002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bawgali|ward|၃|3,Baw Ga Li Town,ဘောဂလိ မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,1362003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
bawgali|ward|၄|4,Baw Ga Li Town,ဘောဂလိ မြို့,true,,,unresolved,ward,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,4,၄,1,1362004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
chaungthar|ward|၁|1,Chaung Thar Town,ချောင်းသာ မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,1062001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
chaungthar|ward|၂|2,Chaung Thar Town,ချောင်းသာ မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,1062002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
chaungthar|ward|၃|3,Chaung Thar Town,ချောင်းသာ မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,1062003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
chinshwehaw|ward|၁|1,Chinshwehaw Town,ချင်းရွှေဟော် မြို့,true,,,unresolved,ward,No (1) Ward Quarter,အမှတ် (၁) ရပ်ကွက် ရပ်ကွက်,1,၁,1,1669001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
chinshwehaw|ward|၂|2,Chinshwehaw Town,ချင်းရွှေဟော် မြို့,true,,,unresolved,ward,No (2) Ward Quarter,အမှတ် (၂) ရပ်ကွက် ရပ်ကွက်,2,၂,1,1669002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
chinshwehaw|ward|၃|3,Chinshwehaw Town,ချင်းရွှေဟော် မြို့,true,,,unresolved,ward,No (3) Ward Quarter,အမှတ် (၃) ရပ်ကွက် ရပ်ကွက်,3,၃,1,1669003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
chinshwehaw|village_tract|လုံထန်ရှမ်း|longhtanshan,Chinshwehaw Town,ချင်းရွှေဟော် မြို့,true,,,unresolved,village_tract,Long Htan Shan Village Tract,လုံထန်ရှမ်း ကျေးရွာအုပ်စု,longhtanshan,လုံထန်ရှမ်း,1,1669201,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
chinshwehaw|village_tract|မာစုပြင်ရှန်း|marsuphyinshan,Chinshwehaw Town,ချင်းရွှေဟော် မြို့,true,,,unresolved,village_tract,Mar Su Phyin Shan Village Tract,မာစုပြင်ရှန်း ကျေးရွာအုပ်စု,marsuphyinshan,မာစုပြင်ရှန်း,1,1669200,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
chinshwehaw|village_tract|ရွှေကော်ဝါ|shwekawwarshigouwa,Chinshwehaw Town,ချင်းရွှေဟော် မြို့,true,,,unresolved,village_tract,Shwe Kaw War (Shi Gou Wa) Village Tract,ရွှေကော်ဝါ ကျေးရွာအုပ်စု,shwekawwarshigouwa,ရွှေကော်ဝါ,1,1669202,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
cikha|ward|၁|1,Cikha Town,ကျီခါး မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,0365001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
cikha|ward|၂|2,Cikha Town,ကျီခါး မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,0365002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
dawthponeyan|ward|၁|1,Dawthponeyan Town,ဒေါ့ဖုန်းယန် မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,0173001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
dawthponeyan|ward|၂|2,Dawthponeyan Town,ဒေါ့ဖုန်းယန် မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,0173002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
dawthponeyan|ward|၃|3,Dawthponeyan Town,ဒေါ့ဖုန်းယန် မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,0173003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
donhee|ward|ထမ်ယုန်း|htamyone,Don Hee Town Town,ဒုံဟီး မြို့,true,,,unresolved,ward,Htam Yone Quarter,ထမ်ယုန်း ရပ်ကွက်,htamyone,ထမ်ယုန်း,1,0261003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
donhee|ward|မီတဲ|metae,Don Hee Town Town,ဒုံဟီး မြို့,true,,,unresolved,ward,Me Tae Quarter,မီတဲ ရပ်ကွက်,metae,မီတဲ,1,0261002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
donhee|ward|မ|myoma,Don Hee Town Town,ဒုံဟီး မြို့,true,,,unresolved,ward,Myo Ma Quarter,မြို့မ ရပ်ကွက်,myoma,မ,1,0261001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hainggyikyun|ward|၁|1,Hainggyikyun Town,ဟိုင်းကြီးကျွန်း မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,1076001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hainggyikyun|ward|၂|2,Hainggyikyun Town,ဟိုင်းကြီးကျွန်း မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,1076002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hainggyikyun|ward|၃|3,Hainggyikyun Town,ဟိုင်းကြီးကျွန်း မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,1076003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hehoe|ward|၁|1,He Hoe Town,ဟဲဟိုး မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,0664001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hehoe|ward|၂|2,He Hoe Town,ဟဲဟိုး မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,0664002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hehoe|ward|၃|3,He Hoe Town,ဟဲဟိုး မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,0664003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hehoe|ward|၄|4,He Hoe Town,ဟဲဟိုး မြို့,true,,,unresolved,ward,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,4,၄,1,0664004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hehoe|ward|၅|5,He Hoe Town,ဟဲဟိုး မြို့,true,,,unresolved,ward,No (5) Quarter,အမှတ် (၅) ရပ်ကွက်,5,၅,1,0664005,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hmonehta|ward|၁|1,Hmone Hta Town,မုံးထ မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,1763001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hmonehta|ward|၂|2,Hmone Hta Town,မုံးထ မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,1763002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hmonehta|ward|၃|3,Hmone Hta Town,မုံးထ မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,1763003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hnaring|ward|၁|1,Hnaring Town,နှာဟရိန် မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,0361001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hnaring|ward|၂|2,Hnaring Town,နှာဟရိန် မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,0361002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hopin|ward|မြသီတာ|myathidar,Hopin Town,ဟိုပင် မြို့,true,,,unresolved,ward,Mya Thi Dar Quarter,မြသီတာ ရပ်ကွက်,myathidar,မြသီတာ,1,0167001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hopin|ward|မြဇေယျာ|myazayyar,Hopin Town,ဟိုပင် မြို့,true,,,unresolved,ward,Mya Zay Yar Quarter,မြဇေယျာ ရပ်ကွက်,myazayyar,မြဇေယျာ,1,0167002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hopin|ward|မမြောက်|myomanorth,Hopin Town,ဟိုပင် မြို့,true,,,unresolved,ward,Myo Ma (North) Quarter,မြို့မမြောက် ရပ်ကွက်,myomanorth,မမြောက်,1,0167004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hopin|ward|မတောင်|myomasouth,Hopin Town,ဟိုပင် မြို့,true,,,unresolved,ward,Myo Ma (South) Quarter,မြို့မတောင် ရပ်ကွက်,myomasouth,မတောင်,1,0167003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hpayargyi|ward|ဘုရားကြီး၁|hpayargyi1,Hpayargyi Town,ဘုရားကြီး မြို့,true,,,unresolved,ward,Hpa Yar Gyi (1) Quarter,ဘုရားကြီး (၁) ရပ်ကွက်,hpayargyi1,ဘုရားကြီး၁,1,0860001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hpayargyi|ward|ဘုရားကြီး၂|hpayargyi2,Hpayargyi Town,ဘုရားကြီး မြို့,true,,,unresolved,ward,Hpa Yar Gyi (2) Quarter,ဘုရားကြီး (၂) ရပ်ကွက်,hpayargyi2,ဘုရားကြီး၂,1,0860002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hpayargyi|ward|ဘုရားကြီး၃|hpayargyi3,Hpayargyi Town,ဘုရားကြီး မြို့,true,,,unresolved,ward,Hpa Yar Gyi (3) Quarter,ဘုရားကြီး (၃) ရပ်ကွက်,hpayargyi3,ဘုရားကြီး၃,1,0860003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hpayarthonesu|ward|၁|1,Hpayarthonesu Town,ဘုရားသုံးဆူ မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,1369001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hpayarthonesu|ward|၂|2,Hpayarthonesu Town,ဘုရားသုံးဆူ မြို့,true,,,unresolved,ward,No (2) Ward Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,1369002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hpayarthonesu|ward|၃|3,Hpayarthonesu Town,ဘုရားသုံးဆူ မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,1,1369003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hpayarthonesu|ward|၄|4,Hpayarthonesu Town,ဘုရားသုံးဆူ မြို့,true,,,unresolved,ward,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,4,၄,1,1369004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hswar|ward|ဆွာမြောက်ပိုင်း|hswarmyaukpaing,Hswar Town,ဆွာ မြို့,true,,,unresolved,ward,Hswar Myauk Paing Quarter,ဆွာမြောက်ပိုင်း ရပ်ကွက်,hswarmyaukpaing,ဆွာမြောက်ပိုင်း,1,0869001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
hswar|ward|ဆွာတောင်ပိုင်း|hswartaungpaing,Hswar Town,ဆွာ မြို့,true,,,unresolved,ward,Hswar Taung Paing Quarter,ဆွာတောင်ပိုင်း ရပ်ကွက်,hswartaungpaing,ဆွာတောင်ပိုင်း,1,0869002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
htanparkway|ward|ထန်ပါခွေ|htanparkway,Htan Par Kway Town,ထန်ပါခွေ မြို့,true,,,unresolved,ward,Htan Par Kway Quarter,ထန်ပါခွေ ရပ်ကွက်,htanparkway,ထန်ပါခွေ,1,0262001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
